Type,Author,Year,Title,DOI,Abstract,Language,Decision
Report,Anonymous,,An international randomised controlled trial to compare targeted intra-operative radiotherapy (TARGIT) with conventional post-operative radiotherapy for women with early breast cancer (The TARGIT-A trial),", http://www.nets.nihr.ac.uk/projects/hta/076049
http://www.crd.york.ac.uk/CRDWeb/ShowRecord.asp?ID=32010000352",,English,1
Report,Anonymous,,TARGIT-B:An international randomised controlled trial to compare targeted intra-operative radiotherapy boost with conventional external beam radiotherapy boost after lumpectomy for breast cancer in women with a high risk of local recurrence,", http://www.nets.nihr.ac.uk/projects/hta/1010407
http://www.crd.york.ac.uk/CRDWeb/ShowRecord.asp?ID=32013000988",,English,1
Journal Article,Anonymous,2004.0,RIGScan CR: RIGScan CR49,", ","RIGScan CR49, a 125I-labelled CR monoclonal antibody directed against the tumour-associated antigen TAG-72, is undergoing development with Neoprobe for the intraoperative detection of metastatic colorectal cancer. The Neoprobe's proprietary RIGS (radioimmunoguided surgery) technology combines an injectable radiolabelled cancer-targeting agent and hand-held radiation detection probe that emits an audible tone when located tissue has accumulated a significant amount of the radioactive agent. Neoprobe's RIGS technology also includes a patented surgical method providing surgeons with real-time information to locate tumour deposits that can not be detected by other conventional methods. The RIGS technology has been evaluated in late clinical studies for the detection of adenocarcinomas including primary colorectal, gastrointestinal, breast, ovarian, pancreatic, prostate and neuroendocrine/endocrine. Neoprobe signed an option agreement for its first-generation RIGScan compound, RIGScan CR, with OncoSurg Inc. (formerly NuRigs Ltd). The second-generation humanised RIGScan CR agent was also optionally licensed to OncoSurg Inc. In 1997, Neoprobe filed for approval with the US FDA and the EMEA for RIGScan CR for the intraoperative detection of metastatic colorectal cancer. Both regulatory agencies have requested additional clinical data. On 19 April 2004, Neoprobe announced that it had met with the US FDA to discuss its position on submitting additional clinical information in response to the FDA's questions regarding the Biologic Licence Application (BLA) for RIGScan CR49. The company provided the FDA with new information related to a survival differential for patients whose colorectal cancer was evaluated with RIGScan CR49. The information was not available at the time of the BLA's submission in 1997. The agency indicated that it would consider accepting survival data from one of the two phase III trials, NEO2-14, but not from another trial NEO2-13, as supportive data for a prognostic indication for colorectal cancer. The FDA also clarified that two well controlled studies were required for approval, and indicated that Neoprobe needed to complete an additional confirmatory phase III study for a prognostic indication in colorectal cancer. In its Annual Report 2002, Neoprobe stated that it had been working to secure a partner for further development of its proprietary RIGS technology. The company intends either to find a development partner or sell or licence out their RIGS assets if the partner is not found.",eng,0
Journal Article,Anonymous,2010.0,One-dose radiation therapy may be an option for some women with breast cancer,", ",,eng,0
Report,Anonymous,2011.0,Intraoperative Radiation Therapy (IORT) for breast cancer,", http://www.crd.york.ac.uk/CRDWeb/ShowRecord.asp?ID=32012000152",,English,0
Journal Article,Anonymous,2015.0,(P020) 3D Conformal External Beam Radiation Therapy May Result in Lower Heart Dose and Risk of Radiation-Induced Major Coronary Events Compared With Multicatheter Balloon High-Dose-Rate Brachytherapy for Left-Sided Breast Cancer Patients,", ",,eng,0
Journal Article,Anonymous,2016.0,(S034) Frequency of Whole-Breast Radiation Therapy Following Intraoperative Radiation Therapy Due to Criteria Identified by Lumpectomy,", ",,eng,0
Journal Article,J. N. Aarsvold; N. P. Alazraki,2005.0,Update on detection of sentinel lymph nodes in patients with breast cancer,10.1053/j.semnuclmed.2004.11.003,"Sentinel lymph node biopsy is now the practice of choice for the management of many patients with breast cancer. This was not true in the early 1990s, when the first such procedures were performed and protocols for such were refined often. This was also not true in the first years of the 21st century, when a decade of collective experience and information acquired from numerous clinical investigations dictated additional subtle and not-so-subtle refinements of the procedures. However, it is true today; reports of the latest round of clinical investigations indicate that there are several breast cancer sentinel node procedures that result in successful identification of potential sentinel nodes in nearly all patients who are eligible for such procedures. A significant component of many of these successful sentinel node procedures is a detection and localization protocol that involves radiotracer methodologies, including radiopharmaceutical administration, preoperative nuclear medicine imaging, and intraoperative gamma counting. The present state and roles of nuclear medicine protocols used in breast cancer sentinel lymph node biopsy procedures is reviewed with emphasis on discussion of recent results, unresolved issues, and future considerations. Included are brief reviews of present radiotracer and blue-dye techniques for node localization, including remarks about injection strategies, counting probe technology, and radiation safety. Included also are discussions of on-going investigations of the implications of the presence of micrometastases; of the management value of detection, localization, and excision of extra-axillary nodes such as internal mammary nodes; and of the broad range of recurrence rates presently being reported. Remarks on the present and possible near- and long-term roles for nuclear medicine in the staging of breast cancer patients including comments on positron emission tomography and intraoperative imaging conclude the article.",eng,0
Journal Article,A. M. Abbott; L. A. Dossett; L. Loftus; W. Sun; W. Fulp; G. H. Sokol; C. Laronga,2015.0,Intraoperative radiotherapy for early breast cancer and age: Clinical characteristics and outcomes,", http://ezproxy.surgeons.org/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed18&AN=605450816","Background Eligibility criteria for intraoperative radiation therapy (IORT) for breast cancer are being established. Impact of age, one criterion, on short-term complications/outcomes was evaluated. Methods Institutional Review Board approved retrospective review of early-stage breast cancer patients undergoing breast conserving surgery and IORT from January 2011 to June 2013 were reviewed. Data collected were demographics, comorbidities, histopathology, intraoperative data, adjuvant treatment, and outcomes. Local recurrence (LR), re-excision rates, and complications were evaluated by age group using descriptive statistics. Results The total number of patients was 100 (43 patients <70, 57 patients 70). No significant differences existed between groups in tumor size, operative time, estrogen receptor status, nodal status, tumor grade, or margin excision. Wound infection rates were low for both groups (P =.21). Two LR occurred (both patients 70). Median follow-up time was 24 months. Conclusion IORT with its low rate of LR and wound complications may be a reasonable alternative to whole breast irradiation for early-stage breast cancer, regardless of age. Copyright © 2015 Elsevier Inc. All rights reserved.",,1
Journal Article,A. M. Abbott; C. Laronga; S. Valente; L. Loftus; R. D. Tendulkar; J. Greif; K. Bethke; E. D. Donnelly; D. Ross; C. Lottich; N. B. Friedman; G. C. Bedi; J. E. Joh; P. Kelemen; S. K. Kang; R. A. Hoefer; J. Ruffer; A. M. Police; A. W. Fyles; G. M. Graves; S. C. Willey; E. A. Tousimis; W. Small; J. Lyons; S. Grobmyer,2015.0,A multi-institutional analysis of intraoperative radiotherapy for early breast cancer: Does age matter?,", http://ezproxy.surgeons.org/login?url=http://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed17&AN=71949140","Objective Duration of whole-breast radiation therapy (WBXRT) after breast-conserving surgery (BCS) may lead to noncompliance, especially among the elderly. Accelerated partial breast irradiation, including single-session intraoperative radiation therapy (IORT), may be an alternative that minimizes treatment demands while providing adequate local disease control and minimal morbidity. The purpose of this study was to evaluate the impact of age on outcomes after treatment with BCS and IORT. Methods A multi-institutional retrospective data collection registry was created to collect/combine patient and treatment characteristics from 19 centers utilizing IORT for early-stage breast cancer from 2007-2013. Eligibility criteria were determined at each institution per consensus guidelines. The IORT system was designed to deliver 20 Gy of radiotherapy at the surface of the applicator. The primary endpoint was local recurrence rate and the secondary endpoint was complications. Outcomes were analyzed for ages <70 and >70 using mean and standard deviation or median and interquartile range. Comparisons between age categories were made using Welch twosample t test or Wilcoxon sign-rank test. Results The registry cohort included a total of 1,086 patients. This study evaluated 686 patients (all were margin and lymph node-negative, had no additional surgery, and > 6 months of follow-up). Four hundred twenty-four patients were <70 and 262 patients > 70. Mean age for patients <70 was 63 (range: 78, 66) years and 75 (range: 72, 80) years for the > 70 cohort. Patients <70 were more likely to have longer operative times, higher rates of IORT used as planned boost, oncoplastic closure, receive chemotherapy, and postoperative external beam radiation. There were no significant differences between the groups in BMI, tumor histology, size, grade, receptor status, or IORT treatment times. The incidence of wound infection, hematoma, and seroma were not significantly different between the 2 cohorts (Table 1). The median follow-up was 1.06 (range: 0.51, 1.9) years for <70 and 1.01 (range: 0.5, 1.68) years for > 70. There were no axillary recurrences and only 5 (0.73%) breast recurrences (4 in <70 and 1 > 70, p = 0.65) during follow-up. Conclusion On short-term follow-up, patients who received BCS and IORT experienced low local-disease recurrence rates, and the elderly were not at greater risk of wound complications compared to the younger cohort. IORT may be a reasonable alternative to WBXRT for patients with early-stage breast cancer treated with BCS, regardless of advanced age. (Table Presented).",,0
Journal Article,A. M. Abbott; P. R. Portschy; C. Lee; C. T. Le; L. K. Han; T. Washington; M. Kinney; M. Bretzke; T. M. Tuttle,2013.0,Prospective multicenter trial evaluating balloon-catheter partial-breast irradiation for ductal carcinoma in situ,10.1016/j.ijrobp.2013.06.2056,"PURPOSE: To determine outcomes of accelerated partial-breast irradiation (APBI) with MammoSite in the treatment of ductal carcinoma in situ (DCIS) after breast-conserving surgery. METHODS AND MATERIALS: We conducted a prospective, multicenter trial between 2003 and 2009. Inclusion criteria included age >18 years, core needle biopsy diagnosis of DCIS, and no prior breast cancer history. Patients underwent breast-conserving surgery plus MammoSite placement. Radiation was given twice daily for 5 days for a total of 34 Gy. Patients were evaluated for development of toxicities, cosmetic outcome, and ipsilateral breast tumor recurrence (IBTR). RESULTS: A total of 41 patients (42 breasts) completed treatment in the study, with a median follow up of 5.3 years. Overall, 28 patients (68.3%) experienced an adverse event. Skin changes and pain were the most common adverse events. Cosmetic outcome at 6 months was judged excellent/good by 100% of physicians and by 96.8% of patients. At 12 months, 86.7% of physicians and 92.3% of patients rated the cosmetic outcome as excellent/good. Overall, 4 patients (9.8%) developed an IBTR (all DCIS), with a 5-year actuarial rate of 11.3%. All IBTRs were outside the treatment field. Among patients with IBTRs, the mean time to recurrence was 3.2 years. CONCLUSIONS: Accelerated partial-breast irradiation using MammoSite seems to provide a safe and cosmetically acceptable outcome; however, the 9.8% IBTR rate with median follow-up of 5.3 years is concerning. Prospective randomized trials are necessary before routine use of APBI for DCIS can be recommended.",eng,0
Journal Article,B. Acea-Nebril; S. Lopez; C. Cereijo; A. Bazarra; P. Pais; I. Uriarte; C. Gomez,2005.0,[Impact of conservative oncoplastic techniques in a surgery program for women with breast cancer],", ","OBJECTIVES: To evaluate the impact of conservative oncoplastic techniques in a surgery program for women with breast cancer. PATIENTS AND METHOD: The study group was composed of women who underwent a conservative oncoplastic technique and the control group consisted of women who underwent conservative (tumorectomy/quadrantectomy) and radical (mastectomy) techniques. Women with tumors smaller than 3 cm, axillary clinical stages N0-N1a-b and multifocal processes (infiltrating and/or in situ) were eligible for inclusion. Women with T3-4 tumors and reduced breast volume, and those in whom postoperative radiotherapy and disease-free margins during intraoperative study were not feasible were excluded. RESULTS: One hundred sixty women underwent surgery during the study period. Fifty oncoplastic techniques (29 to avoid mastectomy and 21 to improve the result of a conservative technique), 57 conservative techniques and 53 mastectomies were performed. The techniques used for breast reconstruction were superior mammoplasty with transversal scar (23 patients), mammoplasty with superior pedicle (10 patients), mammoplasty with inferior pedicle (10 patients), J-shapped mammoplasty (four patients) and oblique mammoplasty (three patients). The mean operating time in the group undergoing oncoplastic techniques (131 minutes) was higher than that in the group undergoing conservative (56 minutes) and radical (93 minutes) techniques. The incidence of postoperative complications was higher with radical techniques (35%), mainly due to axillary seromas after lymphadenectomy, than with conservative (25%) and oncoplastic (24%) techniques. CONCLUSIONS: Oncoplastic techniques are an effective and efficient alternative to conventional surgical techniques in women with breast cancer.",spa,0
