Type,Author,Year,Title,DOI,Abstract,Language,Decision
Journal Article,Y. Ding; P. F. White,1995.0,Post-herniorrhaphy pain in outpatients after pre-incision ilioinguinal-hypogastric nerve block during monitored anaesthesia care,10.1007/bf03010564,"The objective of this study was to evaluate the effect of an ilioinguinal-hypogastric nerve block (IHNB) with bupivacaine 0.25% on the postoperative analgesic requirement and recovery profile in outpatients undergoing inguinal herniorrhaphy with local anaesthetic infiltration. Thirty consenting healthy men undergoing elective unilateral inguinal herniorrhaphy procedures were randomly assigned to receive an IHNB with either saline or bupivacaine according to a double-blind, IRB-approved protocol. All patients received midazolam, 2 mg iv, and fentanyl 25 microgram iv, prior to injection of 30 ml of either bupivacaine 0.25% or saline through the oblique muscle approximately 1.5 cm medial to the anterior superior iliac spine. Subsequently, the surgeon infiltrated the incision site with a lidocaine 1% solution. Sedation was maintained during the operation with a variable-rate propofol infusion, 25-140 micrograms.kg-1.min-1. No significant differences were noted in the intraoperative doses of lidocaine, propofol and fentanyl in the two treatment groups. However, the pain visual analogue score at 30 min after entering the PACU was lower in the bupivacaine (versus saline) group (P < 0.05). Although the times to ambulation (86 +/- 18 vs 99 +/- 27 min) and being judged fit for discharge"" (112 +/- 49 vs 126 +/- 30 min) were similar in the two groups, the bupivacaine-treated (vs saline) patients required less oral analgesic medication after discharge (46% vs 85%). We concluded that the use of an ilioinguinal-hypogastric nerve block with bupivacaine 0.25% as an adjuvant during inguinal herniorrhaphy under monitored anaesthesia care decreased pain in the PACU and oral analgesic requirements after discharge from the day-surgery unit.""",eng,1
Journal Article,E. J. Crosbie; N. S. Massiah; J. Y. Achiampong; S. Dolling; R. J. Slade,2012.0,The surgical rectus sheath block for post-operative analgesia: a modern approach to an established technique,10.1016/j.ejogrb.2011.10.015,"OBJECTIVE: To describe the surgical rectus sheath block for post-operative pain relief following major gynaecological surgery. TECHNIQUE: Local anaesthetic (20 ml 0.25% bupivacaine bilaterally) is administered under direct vision to the rectus sheath space at the time of closure of the anterior abdominal wall. STUDY DESIGN: We conducted a retrospective case note review of 98 consecutive patients undergoing major gynaecological surgery for benign or malignant disease who received either standard subcutaneous infiltration of the wound with local anaesthetic (LA, n=51) or the surgical rectus sheath block (n=47) for post-operative pain relief. MAIN OUTCOME MEASURES: (1) Pain scores on waking, (2) duration of morphine-based patient controlled analgesia (PCA), (3) quantity of morphine used during the first 48 post-operative hours and (4) length of post-operative stay. RESULTS: The groups were similar in age, the range of procedures performed and the type of pathology observed. Patients who received the surgical rectus sheath block had lower pain scores on waking [0 (0-1) vs. 2 (1-3), p<0.001], required less morphine post-operatively [12 mg (9-26) vs. 36 mg (30-48), p<0.001], had their PCAs discontinued earlier [24h (18-34) vs. 37 h (28-48), p<0.001] and went home earlier [4 days (3-4) vs. 5 days post-op (4-8), p<0.001] [median (interquartile range)] than patients receiving standard subcutaneous local anaesthetic into the wound. CONCLUSIONS: The surgical rectus sheath block appears to provide effective post-operative analgesia for patients undergoing major gynaecological surgery. A randomised controlled clinical trial is required to assess its efficacy further.",eng,0
Journal Article,N. T. Ventham; S. O'Neill; N. Johns; R. R. Brady; K. C. Fearon,2014.0,Evaluation of novel local anesthetic wound infiltration techniques for postoperative pain following colorectal resection surgery: a meta-analysis,10.1097/dcr.0000000000000006,"BACKGROUND: Novel local anesthetic blocks have become increasingly popular in the multimodal pain management following abdominal surgery, but have not been evaluated in a procedure-specific manner in colorectal surgery. OBJECTIVE: This study aims to evaluate the efficacy of novel local anesthetic techniques in colorectal surgery. DATA SOURCES: Electronic literature search of PubMed, EMBASE, and Cochrane databases (date range, January 1990 to February 2013) STUDY SELECTION: Randomized controlled trials comparing a novel local anesthetic technique with placebo/routine analgesia in adults undergoing open or laparoscopic colonic or rectal resection were selected. INTERVENTIONS: This is a meta-analysis of randomized controlled trials evaluating novel local anesthetic wound infiltration techniques such as wound catheter, transversus abdominis plane block, and intraperitoneal instillation in colorectal surgical procedures. The comparator group was defined as placebo/routine analgesia. OUTCOME MEASURES: The primary outcome was opiate requirement at 24 hours. Secondary outcomes included opiate requirements at 48 hours, pain numerical rating score at 24 and 48 hours at rest and on movement, recovery (length of stay, nausea and vomiting, time until bowel movement and diet resumption), and complications. Subgroup analysis was performed to evaluate specific local anesthetic techniques and open and laparoscopic surgery. RESULTS: Twelve randomized controlled trials compared local anesthetic techniques with placebo/routine analgesia. Local anesthetic techniques demonstrated a significant reduction in opiate requirement at 48 hours. Local anesthetic techniques were also associated with lower pain scores on movement at 24 and 48 hours, shorter length of stay, and earlier resumption of diet. LIMITATIONS: The diverse study design led to statistical heterogeneity in several analyses. CONCLUSIONS: Novel local anesthetic wound infiltration techniques in colorectal surgery appear to reduce opiate requirements, to reduce pain scores, and to improve recovery in comparison with placebo/routine analgesia.",eng,1
Journal Article,M. Sakalli; A. Ceyhan; H. Y. Uysal; I. Yazici; H. Basar,2010.0,The efficacy of ilioinguinal and iliohypogastric nerve block for postoperative pain after caesarean section,", http://media.proquest.com/media/pq/classic/doc/2024843811/fmt/pi/rep/NONE?hl=&cit%3Aauth=Sakalli%2C+Melike%3BCeyhan%2C+Ayseg%C3%BCl%3BUysal%2C+Hale+Yarkan%3BYazici%2C+Isin%3BBasar%2C+H%C3%BClya&cit%3Atitle=The+efficacy+of+ilioinguinal+and+iliohypogastric+nerve+block+for+...&cit%3Apub=Journal+of+Research+in+Medical+Sciences&cit%3Avol=15&cit%3Aiss=1&cit%3Apg=6&cit%3Adate=Jan%2FFeb+2010&ic=true&cit%3Aprod=ProQuest+Health+%26+Medical+Complete&_a=ChgyMDE0MDkyNjA2MTkzODE2MTo5NDMzNTYSBTQ4NDk3GgpPTkVfU0VBUkNIIg0xMjUuNy4xMTcuMTAzKgYxMDU3NTMyCTI1MDE5NDQzMzoNRG9jdW1lbnRJbWFnZUIBMFIGT25saW5lWgJGVGIDUEZUagoyMDEwLzAxLzAxcgoyMDEwLzAyLzI4egCCASlQLTEwMDcwNjctNDY3MTItQ1VTVE9NRVItMTAwMDAxNTUtMTEzMjM1NpIBBk9ubGluZcoBB0VuZE5vdGXSARJTY2hvbGFybHkgSm91cm5hbHOaAgdQcmVQYWlkqgIoT1M6RU1TLVBkZkRvY1ZpZXdCYXNlLWdldE1lZGlhVXJsRm9ySXRlbcoCE0dlbmVyYWwgSW5mb3JtYXRpb27SAgFZ4gIBTuoCAPICAA%3D%3D&_s=V1mU1pIbvt0f513lx36jzP54yZ4%3D","BACKGROUND: The effect of ilioinguinal and iliohypogastric (II-IH) nerve block on postoperative pain is well documented when performed before Caesarean section (CS) but the efficacy remains unclear when performed after the surgical procedure. The aim of this study is to investigate the effect of II-IH nerve block on postoperative pain and analgesic consumption in patients when performed after CS. METHODS: Sixty ASA I- II patients, scheduled for elective CS were included in the study. After general anaesthesia, patients were allocated into 2 groups randomly. In group I bilateral II-IH block has been performed after the skin closure, with 10 ml of 0.5% ropivacaine on each side. In group II sham block had been performed. For postoperative analgesia all patients received tramadol via i.v patient controlled analgesia. Visual analogue scale (VAS) scored tramadol consumption and side effects. RESULTS: The mean VAS scores in II-IH block group were significantly lower than in sham block group at 6(th), 8(th), 12(th), 24(th) hours at rest (p < 0.05) and at 6(th), 8(th) hours with movement (p < 0.05). Tramadol usage in II-IH block group was significantly less than in sham block group at all estimated time intervals (p < 0.05). Total tramadol consumption was 331 +/- 82 mg in II-IH block group and 622 +/- 107 mg in sham block group (p < 0.05). CONCLUSIONS: It was observed that II-IH nerve block when performed after the surgery may reduce analgesic consumption after CS.",eng,1
Journal Article,A. D'Andrilli; M. Ibrahim; A. M. Ciccone; F. Venuta; T. De Giacomo; D. Massullo; G. Pinto; E. A. Rendina,2006.0,Intrapleural intercostal nerve block associated with mini-thoracotomy improves pain control after major lung resection,10.1016/j.ejcts.2006.01.002,"OBJECTIVE: To prospectively assess the impact of intrapleural intercostal nerve block (IINB) associated with mini-thoracotomy on postoperative pain and surgical outcome after major lung resections. METHODS: Between January 2004 and February 2005, we randomly assigned 120 consecutive patients undergoing mini-thoracotomy (10-13 cm) for major lung resections, to receive or not IINB from the 4th to the 8th space at the moment of thoracotomy using 20 ml (7.5 mg/ml) ropivacain injection at the dose of 4 ml for each space. Postoperative analgesia consisted of continuous intravenous infusion of tramadol (10 mg/h) and ketoralac tromethamine (3 mg/h) for 48 h for all patients. RESULTS: The two groups (60 patients each) were comparable for age, sex, pulmonary function, type and duration of the procedure. Mortality and morbidity were 0% and 10%, respectively, for the IINB group and 3.3% and 15%, respectively, for the non-IINB group (p>0.05, NS). Mean postoperative pain measured by the 'Visual Analogue Scale' were as follows: 2.3+/-1 at 1 h, 2.2+/-0.8 at 12 h, 1.8+/-0.7 at 24 h, and 1.6+/-0.6 at 48 h for the IINB group; and 3.6+/-1.4 at 1 h, 3.4+/-2 at 12 h, 2.9+/-1.2 at 24 h, and 2.0+/-1 at 48 h for the non-IINB group. Differences were significant at 1 h, 12 h, 24 h, and 48 h (p<0.05). Mean postoperative hospital stay was 5.7 days in the IINB group and 6.5 days in the non-IINB group (p<0.05). CONCLUSION: IINB associated with mini-thoracotomy reduces postoperative pain and contributes to improve postoperative outcome after major pulmonary resections.",eng,1
Journal Article,R. Aufforth; J. Jain; J. Morreale; R. Baumgarten; J. Falk; C. Wesen,2012.0,"Paravertebral blocks in breast cancer surgery: is there a difference in postoperative pain, nausea, and vomiting?",10.1245/s10434-011-1899-5,"BACKGROUND: The purpose of this study was to evaluate postoperative pain and postoperative nausea and vomiting (PONV) in patients with paravertebral blocks (PVB) undergoing breast cancer surgery with or without axillary staging. METHODS: An Institutional Review Board approved, retrospective chart review from January 2007 to December 2009 was performed at a single institution. Charts were reviewed for type of breast cancer surgery, axillary staging, PVB, PONV, postoperative pain score, dosages of pain medication and antiemetic medication given in the Post Anesthesia Care Unit (PACU), and during the postoperative days (POD). The study population consisted of females with a diagnosis of breast cancer undergoing breast cancer surgery, with or without axillary staging. Patients were excluded if they: had simultaneous myocutaneous tissue flap breast reconstruction, had additional surgical procedures, used continuous delivery postoperative pain medications, had a history of chronic pain, or had a history of chronic antiemetics prior to surgery. All patients received standard perioperative medications per the anesthesia department. RESULTS: A total of 419 patients underwent breast cancer surgery during the given time period of which 337 patients were able to be included in the study. Of these patients, 241 of the 337 patients had PVB and 96 patients did not have PVB. The mean age was 59.5 years. The mean BMI was 28.7 kg/m(2). Also, 45.5% of the patients who had PVB (110) had a mastectomy, while 41.1% of patients in the non-PVB cohort (39) had a mastectomy. In addition, 45 patients with PVB had immediate tissue expander reconstruction and only 14 patients in the non-PVB group. Of patients with PVB, 53.3% (129) had a sentinel lymph node biopsy (SLN) and 33.5% (81) had full axillary dissections. Of patients in the non-PVB, 35.8% (34) had no axillary staging and 44.2% (42) underwent SLN. Also, 229 patients with PVB and 78 patients without PVB had a general anesthetic. Only 3.3% of patients with PVB and 4.2% of patients without PVB had postoperative nausea (P = 0.746). One patient with PVB and no patients without PVB reported emesis in the PACU (P = 1). There was no difference in morphine equivalents (P = 0.234) or in pain scores (P = 0.521) between the 2 groups in the PACU. There was no difference in amount of morphine equivalents given on POD0 (P = 0.8) or POD1 (P = 0.079). The reconstruction patients with PVB used less opioid analgesic on POD1 compared with the non-PVB reconstruction group (P = 0.02). CONCLUSIONS: Patients undergoing breast cancer surgery who have paravertebral blocks have similar postoperative nausea and vomiting and similar postoperative pain scores compared with patients without paravertebral blocks. PVB may have an important role in decreasing postoperative pain and opioid analgesic usage in patients electing to have immediate breast reconstruction with tissue expanders.",eng,0
Journal Article,J. Grainger; N. Saravanappa,2008.0,Local anaesthetic for post-tonsillectomy pain: a systematic review and meta-analysis,10.1111/j.1749-4486.2008.01815.x,"BACKGROUND: Tonsillectomy is one of the most commonly performed procedures in otolaryngology. Pain is a significant aspect of post-operative patient morbidity. The use of local anaesthetic, by infiltration or topical application, has been advocated as a way of reducing post-operative pain. OBJECTIVES: To review the current evidence for the use of local anaesthetic as a means of reducing post-tonsillectomy pain and reducing supplemental analgesic requirements. TYPE OF REVIEW: A systematic review of the literature pertaining to the use of local anaesthetic agents for post-tonsillectomy pain and meta-analysis of randomised control trials assessing pain scores. SEARCH STRATEGY: Systematic literature searches of MEDLINE (1952-2008), EMBASE (1974-2008) and the Cochrane Central Register of Controlled Trials. EVALUATION METHOD: Review of all randomised controlled trials by two authors and grading of articles for quality. RESULTS: Thirteen studies were included. Overall, local anaesthetic, applied topically or infiltrated, significantly reduces pain scores compared with controls at 4-6 h, -0.66 (95% CI: -0.82, -0.50); 20-24 h, -0.34 (95% CI: -0.51, -0.18) and on day 5, -0.97 (95% CI: -1.30, -0.63) (standardised mean differences). These changes approximate to a reduction in pain of between 7 and 19 mm on a 0-100 mm visual analogue scale. Most studies did not report a difference in supplemental analgesia or in adverse events. CONCLUSION: Local anaesthetic does seem to provide a modest reduction in post-tonsillectomy pain. Topical local anaesthetic on swabs appears to provide a similar level of analgesia to that of infiltration without the potential adverse effects and should be the method of choice for providing additional post-operative analgesia.",eng,0
Journal Article,A. K. Exadaktylos; D. J. Buggy; D. C. Moriarty; E. Mascha; D. I. Sessler,2006.0,Can anesthetic technique for primary breast cancer surgery affect recurrence or metastasis?,", http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1615712/pdf/nihms-11585.pdf","BACKGROUND: Regional anesthesia is known to prevent or attenuate the surgical stress response; therefore, inhibiting surgical stress by paravertebral anesthesia might attenuate perioperative factors that enhance tumor growth and spread. The authors hypothesized that breast cancer patients undergoing surgery with paravertebral anesthesia and analgesia combined with general anesthesia have a lower incidence of cancer recurrence or metastases than patients undergoing surgery with general anesthesia and patient-controlled morphine analgesia. METHODS: In this retrospective study, the authors examined the medical records of 129 consecutive patients undergoing mastectomy and axillary clearance for breast cancer between September 2001 and December 2002. RESULTS: Fifty patients had surgery with paravertebral anesthesia and analgesia combined with general anesthesia, and 79 patients had general anesthesia combined with postoperative morphine analgesia. The follow-up time was 32 +/- 5 months (mean +/- SD). There were no significant differences in patients or surgical details, tumor presentation, or prognostic factors. Recurrence- and metastasis-free survival was 94% (95% confidence interval, 87-100%) and 82% (74-91%) at 24 months and 94% (87-100%) and 77% (68-87%) at 36 months in the paravertebral and general anesthesia patients, respectively (P = 0.012). CONCLUSIONS: This retrospective analysis suggests that paravertebral anesthesia and analgesia for breast cancer surgery reduces the risk of recurrence or metastasis during the initial years of follow-up. Prospective trials evaluating the effects of regional analgesia and morphine sparing on cancer recurrence seem warranted.",eng,0
Journal Article,G. S. De Oliveira Jr; K. Duncan; P. Fitzgerald; A. Nader; R. W. Gould; R. J. McCarthy,2014.0,Systemic lidocaine to improve quality of recovery after laparoscopic bariatric surgery: A randomized double-blinded placebo-controlled trial,http://dx.doi.org/10.1007/s11695-013-1077-x,"Background: Few multimodal strategies to minimize postoperative pain and improve recovery have been examined in morbidly obese patients undergoing laparoscopic bariatric surgery. The main objective of this study was to evaluate the effect of systemic intraoperative lidocaine on postoperative quality of recovery when compared to saline. Methods: The study was a prospective randomized, double-blinded placebo-controlled clinical trial. Subjects undergoing laparoscopic bariatric surgery were randomized to receive lidocaine (1.5 mg/kg bolus followed by a 2 mg/kg/h infusion until the end of the surgical procedure) or the same volume of saline. The primary outcome was the quality of recovery 40 questionnaire at 24 h after surgery. Results: Fifty-one subjects were recruited and 50 completed the study. The global QoR-40 scores at 24 h were greater in the lidocaine group median (IQR) of 165 (151 to 170) compared to the saline group, median (IQR) of 146 (130 to 169), P = 0.01. Total 24 h opioid consumption was lower in the lidocaine group, median (IQR) of 26 (19 to 46) mg IV morphine equivalents compared to the saline group, median (IQR) of 36 (24 to 65) mg IV morphine equivalents, P = 0.03. Linear regression demonstrated an inverse relationship between the total 24 h opioid consumption (IV morphine equivalents) and 24 h postoperative quality of recovery (P < 0.0001). Conclusions: Systemic lidocaine improves postoperative quality of recovery in patients undergoing laparoscopic bariatric surgery. Patients who received lidocaine had a lower opioid consumption which translated to a better quality of recovery. 2013 Springer Science+Business Media New York.",English,0
Journal Article,J. M. Bischoff; Z. J. Koscielniak-Nielsen; H. Kehlet; M. U. Werner,2012.0,"Ultrasound-guided ilioinguinal/iliohypogastric nerve blocks for persistent inguinal postherniorrhaphy pain: a randomized, double-blind, placebo-controlled, crossover trial",10.1213/ANE.0b013e31824d6168,"BACKGROUND: Ilioinguinal and iliohypogastric nerve blocks are used in the clinical management of persistent inguinal postherniorrhaphy pain, but no controlled studies have been published on the subject. In this controlled study, we investigated the analgesic and sensory effects of ultrasound-guided blocks of the ilioinguinal and iliohypogastric nerves with lidocaine. METHODS: A randomized, double-blind, placebo-controlled, crossover trial in 12 patients with severe persistent inguinal postherniorrhaphy pain, including a control group of 12 healthy controls, was performed. Assessments included pain ratings under standardized conditions with numerical rating scale (0-10), sensory mapping to a cool roller, and quantitative sensory testing (QST), in the groin regions, before and after each ultrasound-guided block. A needle approach of 1 to 2 cm superior and medial to the anterior superior iliac spine was used. Outcomes were changes in pain ratings, sensory mapping, and QST compared with preblock values. Lidocaine responders were a priori defined by a pain reduction of >/=80% after lidocaine block and </=25% after placebo block, nonresponders by pain reduction of <80% after lidocaine block and </=25% after placebo block, and placebo responders by pain reduction of >25% after placebo block. RESULTS: One of 12 pain patients was a lidocaine responder, 6 patients were nonresponders, and 5 patients were placebo responders. No consistent QST changes were observed in patients after the lidocaine block. In 10 of 12 healthy controls, a cool hypoesthesia area developed in the groin after the lidocaine block. Furthermore, QST assessments demonstrated significantly decreased suprathreshold heat pain perception in the groin after lidocaine versus placebo blocks (95% confidence interval = -3.5 to -0.5, P = 0.008). CONCLUSION: Ultrasound-guided lidocaine blocks of the ilioinguinal and iliohypogastric nerves, at the level of the anterior superior iliac spine, are not useful in diagnosis and management of persistent inguinal postherniorrhaphy pain.",eng,0
