Type,Author,Year,Title,DOI,Abstract,Language,Decision
Journal Article,G. Abbas; A. Pennathur; R. J. Landreneau; J. D. Luketich,2009,Radiofrequency and microwave ablation of lung tumors,http://dx.doi.org/10.1002/jso.21334,"Lung cancer is the most common cause of cancer-related mortality in the United States. Surgical resection remains the standard treatment for early stage, non-small cell lung cancer, and limited pulmonary metastases. However, many patients with resectable disease have significant comorbidities which preclude surgical resection. Radiofrequency and microwave ablation are emerging modalities of treatment for these high-risk patients. Here, we review the principles, common devices in use, and treatment results of ablative therapy for lung tumors. © 2009 Wiley-Liss, Inc.",English,0
Journal Article,G. Abbas; M. J. Schuchert; A. Pennathur; S. Gilbert; J. D. Luketich,2007,"Ablative Treatments for Lung Tumors: Radiofrequency Ablation, Stereotactic Radiosurgery, and Microwave Ablation",http://dx.doi.org/10.1016/j.thorsurg.2007.03.007,"New alternatives to standard external beam radiation therapy are now entering clinical practice for the treatment of lung cancer or limited pulmonary metastases in medically inoperable patients. The two principal modalities that are being offered by many centers around the world are radiofrequency ablation and stereotactic radiosurgery. Another ablative modality, microwave ablation, is also being introduced into practice, although current clinical experience is very limited with this new approach. This article reviews these therapies and discusses their role in the treatment of thoracic malignancies. © 2007 Elsevier Inc. All rights reserved.",English,0
Journal Article,R. A. Adair; A. L. Young; G. J. Toogood,2011,Advances in hepatobiliary surgery,http://dx.doi.org/10.1016/j.tacc.2010.10.004,"Based on the application of a more detailed understanding of internal liver anatomy, liver and biliary tract surgery has developed into a specialist discipline. Huge progress in recent years has resulted from a variety of factors including improved systemic cytotoxic therapies, improvements in modern imaging techniques, safer surgery and better perioperative care. A multi-disciplinary team approach within high volume centres has individualised patient care and undoubtedly led to better overall survival for a variety of hepatobiliary malignancies. As well as this, the perioperative mortality rate associated with major hepatic resection has significantly reduced. Here, we examine some of the recent advances in the field of hepatobiliary surgery. © 2011 Elsevier Ltd.",English,0
Journal Article,M. Ahmed; M. Moussa; S. N. Goldberg,2012,Synergy in cancer treatment between liposomal chemotherapeutics and thermal ablation,http://dx.doi.org/10.1016/j.chemphyslip.2011.12.002,"Minimally invasive image-guided tumor ablation using short duration heating via needle-like applicators using energies such as radiofrequency or microwave has seen increasing clinical use to treat focal liver, renal, breast, bone, and lung tumors. Potential benefits of this thermal therapy include reduced morbidity and mortality compared to standard surgical resection and ability to treat non-surgical patients. However, improvements to this technique are required as achieving complete ablation in many cases can be challenging particularly at margins of tumors > 3 cm in diameter and adjacent to blood vessels. Thus, one very promising strategy has been to combine thermal tumor ablation with adjuvant nanoparticle-based chemotherapy agents to improve efficiency. Here, we will primarily review principles of thermal ablation to provide a framework for understanding the mechanisms of combination therapy, and review the studies on combination therapy, including presenting preliminary data on the role of such variables as nanoparticle size and thermal dose on improving combination therapy outcome. We will discuss how thermal ablation can also be used to improve overall intratumoral drug accumulation and nanoparticle content release. Finally, in this article we will further describe the appealing off-shoot approach of utilizing thermal ablation techniques not as the primary treatment, but rather, as a means to improve efficiency of intratumoral nanoparticle drug delivery. © 2011 Elsevier Ireland Ltd.",English,0
Journal Article,K. Ahrar; P. J. Littrup,2012,Is cryotherapy the optimal technology for ablation of lung tumors?,http://dx.doi.org/10.1016/j.jvir.2011.11.022,,English,0
Journal Article,H. Ajisaka; K. Miwa,2005,Acute respiratory distress syndrome is a serious complication of microwave coagulation therapy for liver tumors,http://dx.doi.org/10.1016/j.amjsurg.2005.03.016,"Background: Acute respiratory distress syndrome (ARDS), also known as noncardiogenic pulmonary edema, is a severe complication in cirrhotic patients undergoing microwave coagulation therapy (MCT) for liver tumor. In this study, cirrhotic patients with ARDS after MCT were compared with others without ARDS. Methods: Four patients with ARDS after open MCT and 17 other patients without ARDS were compared in terms of preoperative status, intraoperative findings, and postoperative management. Results: The preoperative Child-Pugh score and intraoperative amount of irradiation showed no significant differences were observed. The postoperative cumulative water balance until the third day was 1,692 +/- 1,315 mL for the ARDS group and 165 +/- 1,524 mL for the non-ARDS group (P = .079), and by the fourth day the respective values were 1,992 +/- 1,585 mL and 66 +/- 1,685 mL, showing a significant difference (P = .049). The postoperative cumulative sodium administration until the third day was 510 +/- 132 mEq for the ARDS group and 362 +/- 122 mEq for the non-ARDS group with a significant difference (P = .044), and by the fourth day the respective values were 642 +/- 141 mEq and 477 +/- 160 mEq (P = .073). Of the 17 patients in the non-ARDS group, 6 were given aldosterone antagonist until the fourth postoperative day, but it was not administered to any of the patients in the ARDS group. Conclusions: The water balance and sodium administration have to be closely monitored to prevent cirrhotic patients undergoing MCT from developing ARDS. Aldosterone antagonist appears to be useful for the prevention of ARDS. © 2005 Excerpta Medica Inc. All rights reserved.",English,0
Journal Article,Q. Al-Tariq; F. Abtin,2013,"Interventions for thoracic metastases: Review of current strategies for treatment of pulmonary, pleural, and chest wall disease",http://dx.doi.org/10.1016/j.jvir.2013.03.027,"Objectives: To review current treatment strategies for thoracic metastases. Various forms of thermal ablation therapies will be discussed for management of pulmonary and chest wall disease including microwave, cryo-, laser, and radiofrequency ablation. Topics to be covered for management of pleural disease include chemical pleurodesis and indwelling catheter placement. Methods: Each modality of thermal ablation will be closely examined, including relative strengths/weaknesses. Case examples will be used to discuss the management of pleural disease, specifically malignant effusions. Adjunctive techniques will be included as needed. Results: Ablation therapies provide a quality alternative to metastatectomy in patients who are poor surgical candidates. The main goal of ablation treatment for chest wall lesions is to provide local palliation of painful lesions. Management of pleural effusions is accomplished through the use of temporary and/or indwelling catheters with or without chemical pleurodesis. Conclusions: Management of thoracic metastatic disease is complex and involves the use of multiple modalities and treatment strategies. To achieve total treatment in this location, the interventionalist should not only address metastases to the lung parenchyma, but also the pleural space and chest wall. (Figure presented).",English,0
Journal Article,Q. Z. Al-Tariq,2014,"Percutaneous strategies for the management of pulmonary parenchymal, chest wall, and pleural metastases",http://dx.doi.org/10.2214/AJR.14.12615,"OBJECTIVE. The purposes of this article are to review the indications for and technical aspects of various percutaneous strategies available for the treatment of intrathoracic metastases involving the parenchyma, pleura, and chest wall and to describe the relative merits of one of these strategies over another to determine the best approach to use. CONCLUSION. The thorax is a common site of metastatic disease with frequent involvement of the lungs, pleura, and osseous structures. A variety of interventional procedures and techniques are available for treatment and for palliative care of patients with this disease. Imaging-guided interventions include thermal ablation of metastatic disease of the lungs and pleura, catheter placement and sclerosis of malignant pleural effusions, and palliative pain management for osseous and soft-tissue metastases.",English,0
Journal Article,E. S. Alexander; D. E. Dupuy,2013,Lung cancer ablation: technologies and techniques,10.1055/s-0033-1342955,"The incidence of lung cancers in 2012 is estimated to reach 226,160 new cases, with only a third of patients suitable surgical candidates. Tumor ablation has emerged as an important and efficacious treatment option for nonsurgical lung cancer patients. This localized minimally invasive therapy is best suited for small oligonodular lesions or favorably located metastatic tumors. Radiofrequency ablation has been in use for over a decade, and newer modalities including microwave ablation, cryoablation, and irreversible electroporation have emerged as additional treatment options for patients. Ablation therapies can offer patients and clinicians a repeatable and effective therapy for palliation and, in some cases, cure of thoracic malignancies. This article discusses the available technologies and techniques available for tumor ablation of thoracic malignancies including patient selection, basic aspects of procedure technique, imaging follow-up, treatment outcomes, and comparisons between various therapies.",eng,0
Journal Article,E. S. Alexander; T. T. Healey; D. W. Martin; D. E. Dupuy,2012,Use of endobronchial valves for the treatment of bronchopleural fistulas after thermal ablation of lung neoplasms,http://dx.doi.org/10.1016/j.jvir.2012.06.009,"Persistent air leaks resulting from bronchopleural fistulas (BPFs) are a rare but serious side effect of thermal ablation. Traditionally, BPFs are treated with surgery; however, patients receiving ablation are often poor surgical candidates and require minimally invasive treatment. The present report describes four cases of BPFs following ablation, which were treated with endobronchial valves (EBVs). In three of the four patients, the pneumothoraces resolved after valve placement. One patient required further treatment with pleurodesis. EBVs can selectively block inspiratory airflow while allowing expiratory flow with drainage of air and secretions. In select patients, EBVs are a viable treatment option for BPFs. © 2012 SIR.",English,0
