Author,Year,Title,Key words,Decision,Record number,Language,Abstract
"Y.A. AboMadyan, M. H. Aly, M. M. Schneider, F. Sperk, E. Clausen, S. Giordano, F. A. Herskind, C. Steil, V. Wenz, F. Glatting, G.",2014,"Second cancer risk after 3D-CRT, IMRT and VMAT for breast cancer","Aged Breast Neoplasms/*radiotherapy Female Humans Middle Aged *Neoplasms, Radiation-Induced Neoplasms, Second Primary/*etiology Radiotherapy Dosage Radiotherapy Planning, Computer-Assisted/methods Radiotherapy, Conformal/*adverse effects Radiotherapy, Intensity-Modulated/*adverse effects Risk Breast cancer Intensity modulated radiation therapy (IMRT) Organ equivalent dose (OED) Second cancer risk",0,242,eng,"PURPOSE: Second cancer risk after breast conserving therapy is becoming more important due to improved long term survival rates. In this study, we estimate the risks for developing a solid second cancer after radiotherapy of breast cancer using the concept of organ equivalent dose (OED). MATERIALS AND METHODS: Computer-tomography scans of 10 representative breast cancer patients were selected for this study. Three-dimensional conformal radiotherapy (3D-CRT), tangential intensity modulated radiotherapy (t-IMRT), multibeam intensity modulated radiotherapy (m-IMRT), and volumetric modulated arc therapy (VMAT) were planned to deliver a total dose of 50 Gy in 2 Gy fractions. Differential dose volume histograms (dDVHs) were created and the OEDs calculated. Second cancer risks of ipsilateral, contralateral lung and contralateral breast cancer were estimated using linear, linear-exponential and plateau models for second cancer risk. RESULTS: Compared to 3D-CRT, cumulative excess absolute risks (EAR) for t-IMRT, m-IMRT and VMAT were increased by 2 +/- 15%, 131 +/- 85%, 123 +/- 66% for the linear-exponential risk model, 9 +/- 22%, 82 +/- 96%, 71 +/- 82% for the linear and 3 +/- 14%, 123 +/- 78%, 113 +/- 61% for the plateau model, respectively. CONCLUSION: Second cancer risk after 3D-CRT or t-IMRT is lower than for m-IMRT or VMAT by about 34% for the linear model and 50% for the linear-exponential and plateau models, respectively."
"C. M.H. AcevedoHenao, S. Rossier, C. Garbay, J. R. Arnedos, M. Balleyguier, C. Ferchiou, M. Marsiglia, H. Bourgier, C.",2012,Conformal accelerated partial breast irradiation: state of the art,"Breast Neoplasms/*radiotherapy/surgery Clinical Trials as Topic Combined Modality Therapy Dose Fractionation, Radiation Female Humans Mastectomy, Segmental Patient Selection Radiation Tolerance Radiometry Radiotherapy Dosage Radiotherapy, Conformal/*methods Radiotherapy, Intensity-Modulated/methods Relative Biological Effectiveness Treatment Outcome Tumor Burden",0,243,fre,"Breast conserving treatment (breast conserving surgery followed by whole breast irradiation) has commonly been used in early breast cancer since many years. New radiation modalities have been recently developed in early breast cancers, particularly accelerated partial breast irradiation. Three-dimensional conformal accelerated partial breast irradiation is the most commonly used modality of radiotherapy. Other techniques are currently being developed, such as intensity-modulated radiotherapy, arctherapy, and tomotherapy. The present article reviews the indications, treatment modalities and side effects of accelerated partial breast irradiation."
"S.F.V. Acharya, B. W. Mazur, T. R. Curcuru, A. Sona, K. Kashani, R. Green, O. Ochoa, L. Mutic, S. Zoberi, I. Li, H. H. Thomas, M. A.",2016,Magnetic Resonance Image Guided Radiation Therapy for External Beam Accelerated Partial-Breast Irradiation: Evaluation of Delivered Dose and Intrafractional Cavity Motion,"Adult Aged Breast Neoplasms/diagnostic imaging/*radiotherapy/surgery *Dose Fractionation, Radiation Female Humans *Magnetic Resonance Imaging Magnetic Resonance Imaging, Cine Margins of Excision Mastectomy, Segmental Middle Aged Motion *Movement Organs at Risk/diagnostic imaging Prospective Studies Radiotherapy Planning, Computer-Assisted/methods Radiotherapy, Image-Guided/*methods Tomography, X-Ray Computed",0,244,eng,"PURPOSE: To use magnetic resonance image guided radiation therapy (MR-IGRT) for accelerated partial-breast irradiation (APBI) to (1) determine intrafractional motion of the breast surgical cavity; and (2) assess delivered dose versus planned dose. METHODS AND MATERIALS: Thirty women with breast cancer (stages 0-I) who underwent breast-conserving surgery were enrolled in a prospective registry evaluating APBI using a 0.35-T MR-IGRT system. Clinical target volume was defined as the surgical cavity plus a 1-cm margin (excluding chest wall, pectoral muscles, and 5 mm from skin). No additional margin was added for the planning target volume (PTV). A volumetric MR image was acquired before each fraction, and patients were set up to the surgical cavity as visualized on MR imaging. To determine the delivered dose for each fraction, the electron density map and contours from the computed tomography simulation were transferred to the pretreatment MR image via rigid registration. Intrafractional motion of the surgical cavity was determined by applying a tracking algorithm to the cavity contour as visualized on cine MR. RESULTS: Median PTV volume was reduced by 52% when using no PTV margin compared with a 1-cm PTV margin used conventionally. The mean (+/- standard deviation) difference between planned and delivered dose to the PTV (V95) was 0.6% +/- 0.1%. The mean cavity displacement in the anterior-posterior and superior-inferior directions was 0.6 +/- 0.4 mm and 0.6 +/- 0.3 mm, respectively. The mean margin required for at least 90% of the cavity to be contained by the margin for 90% of the time was 0.7 mm (5th-95th percentile: 0-2.7 mm). CONCLUSION: Minimal intrafractional motion was observed, and the mean difference between planned and delivered dose was less than 1%. Assessment of efficacy and cosmesis of this MR-guided APBI approach is under way."
"K. H.H. Ahn, B. A. Alley, M. T. Horst, K. C. Luxton, G. Daniel, B. L. Hristov, D.",2009,MRI guidance for accelerated partial breast irradiation in prone position: imaging protocol design and evaluation,"Algorithms Artifacts Breast Neoplasms/*pathology/*radiotherapy/surgery Female Humans Magnetic Resonance Imaging/*methods Magnetic Resonance Imaging, Interventional/methods *Mastectomy, Segmental Movement Prone Position Radiotherapy/methods Reproducibility of Results Respiration Seroma/*pathology",0,247,eng,"PURPOSE: To design and evaluate a magnetic resonance imaging (MRI) protocol to be incorporated in the simulation process for external beam accelerated partial breast irradiation. METHODS AND MATERIALS: An imaging protocol was developed based on an existing breast MRI technique with the patient in the prone position on a dedicated coil. Pulse sequences were customized to exploit T1 and T2 contrast mechanisms characteristic of lumpectomy cavities. A three-dimensional image warping algorithm was included to correct for geometric distortions related to nonlinearity of spatially encoding gradients. Respiratory motion, image distortions, and susceptibility artifacts of 3.5-mm titanium surgical clips were examined. Magnetic resonance images of volunteers were acquired repeatedly to analyze residual setup deviations resulting from breast tissue deformation. RESULTS: The customized sequences generated high-resolution magnetic resonance images emphasizing lumpectomy cavity morphology. Respiratory motion was negligible with the subject in the prone position. The gradient-induced nonlinearity was reduced to less than 1 mm in a region 15 cm away from the isocenter of the magnet. Signal-void regions of surgical clips were 4 mm and 8 mm for spin echo and gradient echo images, respectively. Typical residual repositioning errors resulting from breast deformation were estimated to be 3 mm or less. CONCLUSIONS: MRI guidance for accelerated partial breast irradiation with the patient in the prone position with adequate contrast, spatial fidelity, and resolution is possible."
"N.M. Aoulad, C. de Lafontan, B. Vieillevigne, L. Hangard, G. Ciprian, C. Chaltiel, L. Moyal, E. Izar, F.",2017,Acute toxicity of breast cancer irradiation with modulated intensity by tomotherapy((R)),"Acute Disease Breast Neoplasms/*radiotherapy Esophageal Diseases/etiology Female Humans Lung Diseases/etiology Middle Aged Radiation Injuries/*etiology Radiodermatitis/etiology Radiotherapy, Intensity-Modulated/*adverse effects Retrospective Studies Acute toxicities Breast cancer Cancer du sein Modulated radiation therapy Modulation d'intensite Radiotherapie Tomotherapy((R)) Tomotherapie Toxicite aigue",0,252,fre,"PURPOSE: Helical radiation intensity modulated by tomotherapy improves dose distribution to complex and large volumes. The aim of the study was to assess acute toxicity of this technique during breast cancer irradiation after conserving surgery or mastectomy. PATIENTS AND METHODS: Cutaneous toxicities, lung and oesophageal side effects, and breast lymphedema were retrospectively collected according to the Common Terminology Criteria for Adverse Events Version 4.0 (CTCAE v4.0) in 292 patients treated for a breast cancer by tomotherapy between May 2010 and December 2014. After conservative surgery, the dose administered to breast volume and the tumour bed was respectively 52.2Gy and 63.8Gy in 29 fractions. After mastectomy, the dose was 50Gy in 25 fractions. Univariate and multivariate analyses were performed to highlight risk factors for dermatitis and breast oedema. RESULTS: The rate of dermatitis grade 2 and 3 were 22.9% and 1.7% respectively. In univariate analysis, factors associated with acute radiation dermatitis were breast volume (P=0.002), body mass index (BMI) (P<0.0001), the use of chest compression mask (net) (P=0.005) and the localization of the irradiation (P <0.0001). In multivariate analysis, BMI greater than 25kg/m(2) (odds ratio [OR]: 3.61, 95% confidence interval [CI]: [1.93-6.74], P<0.0001), the use of a chest mask (OR 2.01, 95% CI [1.06-3.79] P=0.0328) and irradiation after conservative treatment increase the risk of acute radiation dermatitis (mastectomy: OR 0.64, 95% CI [0.04-0.43]; mastectomy with immediate reconstruction with prosthesis: OR 0.13 95% CI [0.10-0.38] P=0.0003). The incidence of breast oedema grade 2 or above was 19.5%, in univariate analysis, there was a correlation with BMI (P=0.003) and smoking (P=0.009). In multivariate analysis, smoking and BMI greater than 25kg/m(2) increased the risk of breast oedema (OR 2.47, respectively [95% CI 1.22-5.01] P=0.012 and OR 2.37 [95% CI 1.22-4.59] P=0.01). The rate of radiation pneumonitis of grade 2 or above was 1.4%. Among the patients, 19.9% had esophagitis grade 1 or 2. CONCLUSION: The helical irradiation intensity modulation tomotherapy is a well-tolerated treatment for breast cancer that reduces the high radiation doses to organs at risk."
"K.E. Armoogum, S. Morgan, D.",2016,Modelling the radiobiological effect of intraoperative X-ray brachytherapy for breast cancer using an air-filled spherical applicator,X-ray brachytherapy breast cancer radiobiology,0,253,eng,"PURPOSE: We present a framework, in which we compare a conventional standard dose of 50 Gy in 25 fractions with accelerated partial breast irradiation (APBI) using electronic brachytherapy (eBT). We discuss how radiobiological modelling enables us to establish a framework, within which we can compare external beam radiotherapy (EBRT). This leads to a determination of the shell of isoeffect in breast tissue, at which very low kV eBT can be considered to be clinically equivalent to standard EBRT. MATERIAL AND METHODS: To estimate relative biological effectiveness (RBE) values as a function of dose and irradiation time, we used a modified linear quadratic (LQ) approach, taking into account the ability of this new device, to deliver 20 Gy at the surface of a 40 mm diameter rigid, hollow spherical applicator in less than 2 minutes. In this study, we considered the radiobiological effectiveness of the Papillon + X-ray brachytherapy device operating at 30 kV, 0.3 mA producing dose rates in excess of 14 Gy/min. RESULTS: Calculated clinical RBEs ranged from 1.154 at the surface of a 40 mm diameter applicator to 1.100 at 35 mm from the applicator surface for the Papillon+ device. The absolute physical dose D (abs) 30 kV ranged from 20.00 Gy at the applicator surface to 1.20 at 35 mm distant. The product of the isoeffective single dose of (60)Co reference radiation - (RBE)(60)Co, and the RBE corrected standard 2 Gy equivalent dose fractions (EQD2) doses, EQD2(30 kV) * (RBE)(60)Co ranged from 98.62 Gy at the applicator surface to 1.13 at 35 mm. The 'shell of isoeffect', the value on the X-axis where the EQD2(30 kV) * (RBE)(60)Co line crosses the 50 Gy mark on the Y-axis, was found to be approximately 3.5 mm beyond the applicator surface. CONCLUSIONS: The 'shell of isoeffect' can serve as a useful metric with which to compare the radiobiological effectiveness of low kV eBT with various regimes of conventional EBRT."
"D. W.K. Arthur, D. Zwicker, R. D. Tong, S. Bear, H. D. Kaplan, B. J. Kavanagh, B. D. Warwicke, L. A. Holdford, D. Amir, C. Archer, K. J. SchmidtUllrich, R. K.",2003,Partial breast brachytherapy after lumpectomy: low-dose-rate and high-dose-rate experience,"Adult Aged Aged, 80 and over Analysis of Variance Antineoplastic Agents/administration & dosage Brachytherapy/adverse effects/*methods Breast Neoplasms/pathology/*radiotherapy/surgery Carcinoma, Ductal, Breast/pathology/radiotherapy/surgery Carcinoma, Intraductal, Noninfiltrating/pathology/radiotherapy/surgery Carcinoma, Lobular/pathology/radiotherapy/surgery Dose Fractionation, Radiation Doxorubicin/administration & dosage Esthetics Female Humans Mastectomy, Segmental Middle Aged Neoplasm Staging Radiation Injuries/etiology/pathology Radiobiology Radiotherapy, Adjuvant Treatment Outcome",0,254,eng,"PURPOSE: The use of partial breast brachytherapy (PBB) after lumpectomy for selected patients with early-stage breast cancer reduces the adjuvant radiotherapy treatment time to <1 week. Despite the advantages of accelerated treatment, maintaining an acceptable cosmetic outcome is important. In a cohort of patients who received low-dose-rate (LDR) or high-dose-rate (HDR) PBB after lumpectomy, the clinical characteristics and treatment parameters were analyzed to identify predictors for an unfavorable cosmetic outcome. METHODS AND MATERIALS: Early-stage breast cancer patients with clear resection margins and 0-3 positive lymph nodes were eligible for PBB. Uniform guidelines for target definition and brachytherapy catheter placement were applied. The HDR PBB dose was 34 Gy in 10 fractions within 5 days, and the LDR dose was 45 Gy given at a rate of 50 cGy/h. The end points included incidence of radiation recall reaction, telangiectasias, and cosmetic-altering fibrosis. RESULTS: Between 1995 and 2000, 44 patients with early-stage breast cancer received PBB without adjuvant external beam radiotherapy after lumpectomy (31 HDR PBB, 13 LDR PBB). After a median follow-up of 42 months (range 18-86), all patients remained locally controlled. The overall rate of good/excellent cosmetic outcome was 79.6% overall and 90% with HDR PBB. Radiation recall reactions occurred in 43% of patients (6 of 14) who received adriamycin. LDR PBB and adriamycin were significant predictors for late unfavorable cosmetic changes in univariate analysis (p = 0.003 and p = 0.005, respectively). CONCLUSION: Although a high rate of local control and good/excellent cosmetic outcome is provided with HDR PBB, the risk of unfavorable cosmetic changes when treated with both LDR PBB and adriamycin is noteworthy. This suggests that HDR PBB is preferred in patients for whom adriamycin is indicated."
"V.J. Askoxylakis, A. D. Hafner, M. F. Fetzner, L. Sterzing, F. Heil, J. Sohn, C. Husing, J. Tiefenbacher, U. Wenz, F. Debus, J. Hof, H.",2011,Simultaneous integrated boost for adjuvant treatment of breast cancer--intensity modulated vs. conventional radiotherapy: the IMRT-MC2 trial,"Adult Aged Breast Neoplasms/*radiotherapy/*surgery Combined Modality Therapy Female Follow-Up Studies Humans Middle Aged Prospective Studies Radiotherapy/*methods Radiotherapy Dosage Radiotherapy, Adjuvant/methods Radiotherapy, Intensity-Modulated/*methods Time Factors Treatment Outcome Young Adult",0,257,eng,"BACKGROUND: Radiation therapy is an essential modality in the treatment of breast cancer. Addition of radiotherapy to surgery has significantly increased local control and survival rates of the disease. However, radiotherapy is also associated with side effects, such as tissue fibrosis or enhanced vascular morbidity. Modern radiotherapy strategies, such as intensity modulated radiotherapy (IMRT), can shorten the overall treatment time by integration of the additional tumor bed boost significantly. To what extent this might be possible without impairing treatment outcome and cosmetic results remains to be clarified. METHODS/DESIGN: The IMRT-MC2 study is a prospective, two armed, multicenter, randomized phase-III-trial comparing intensity modulated radiotherapy with integrated boost to conventional radiotherapy with consecutive boost in patients with breast cancer after breast conserving surgery. 502 patients will be recruited and randomized into two arms: patients in arm A will receive IMRT in 28 fractions delivering 50.4 Gy to the breast and 64.4 Gy to the tumor bed by integrated boost, while patients in arm B will receive conventional radiotherapy of the breast in 28 fractions to a dose of 50.4 Gy and consecutive boost in 8 fractions to a total dose of 66.4 Gy. DISCUSSION: Primary objectives of the study are the evaluation of the cosmetic results 6 weeks and 2 years post treatment and the 2- and 5-year local recurrence rates for the two different radiotherapy strategies. Secondary objectives are long term overall survival, disease free survival and quality of life. TRIAL REGISTRATION: ClinicalTrials.gov Protocol ID: NCT01322854."
"M.S. Avanzo, J. Trovo, M. Jena, R. Roncadin, M. Trovo, M. G. Capra, E.",2012,Complication probability model for subcutaneous fibrosis based on published data of partial and whole breast irradiation,"Aged Aged, 80 and over Breast/pathology/*radiation effects Breast Neoplasms/*radiotherapy Dose Fractionation, Radiation Fibrosis Follow-Up Studies Humans Middle Aged *Models, Statistical Organs at Risk/*radiation effects Radiation Injuries/*pathology Radiometry Subcutaneous Tissue/*pathology/*radiation effects",0,258,eng,"PURPOSE: To extend the application of current radiation therapy (RT) based normal tissue complication probability (NTCP) models of radiation-induced fibrosis (RIF) of the breast to include the effects of fractionation, inhomogeneous dose, incomplete recovery, and time after the end of radiotherapy in partial breast irradiation (PBI). MATERIALS AND METHODS: An NTCP Lyman model with biologically effective uniform dose (BEUD) with and without a correction for the effect of incomplete repair was used. The time to occurrence of RIF was also taken into account. The radiobiological parameters were determined by fitting incidences of moderate/severe RIF in published randomized studies on RT of the breast. The NTCP model was used to calculate the risk of toxicity in 35 patients treated with intensity modulated, non-accelerated PBI and the result was compared with observed incidence of RIF. RESULTS: With alpha/beta fixed at 3Gy the parameters of the model without correction for incomplete repair extracted from fitting were: 50% complication probability biologically effective dose BEUD(50) = 107.2 Gy (95%CI = 95.9-118.6 Gy), volume parameter n = 0.06 (95%CI = 0-0.23), and slope of dose response m = 0.22, (95%CI = 0.20-0.23). After including the correction for incomplete repair with repair halftime for subcutaneous tissue of tau = 4.4 h we obtained BEUD(50) = 105.8 Gy (95%CI = 96.9-114.6Gy), n = 0.15 (95%CI = 0-0.33), m = 0.22 (95%CI = 0.20-0.23). Average NTCP predicted by these models, 4.3% and 2.0% respectively, offered a good agreement with RIF incidence in our patients, 5.7%, after an average follow-up of 12 months. CONCLUSION: The NTCP models of RIF, incorporating the effects of fractionation, volume effect, and latency of toxicity look promising to model PBI. Clinical validation from a prospective PBI treatment study is under development and will help test this preliminary result."
"M.T. Avanzo, M. Stancanello, J. Jena, R. Roncadin, M. Toffoli, G. Zuiani, C. Capra, E.",2015,Hypofractionation of partial breast irradiation using radiobiological models,"Breast/*radiation effects Breast Neoplasms/radiotherapy Humans *Models, Biological Probability *Radiation Dose Hypofractionation Radiobiology Radiotherapy, Intensity-Modulated Breast Fibrosis Hypofractionation Ntcp Partial breast irradiation Tcp",0,259,eng,"PURPOSE: To reduce the fraction number in Partial Breast Irradiation (PBI) with initial prescription of 40 Gy in 10 fractions using radiobiological models with specific focus on risk of moderate/severe radiation-induced fibrosis (RIF) and report clinical results. METHODS AND MATERIALS: 68 patients (patient group A) were treated with 40 Gy in 10 fractions delivered by field-in-field, forward-planned IMRT. Isotoxic regimens with decreasing number of fractions were calculated using Biological Effective Dose (BED) to the breast. Risk for RIF in hypofractionated treatment was predicted by calculating NTCP from DVHs of group A rescaled to fractions and dose of novel regimens. Moderate/severe RIF was prospectively scored during follow-up. Various NTCP models, with and without incomplete repair correction, were assessed from difference to observed incidence of RIF. In order to verify the value for alpha/beta of 3 Gy assumed for breast, we fitted alpha/beta to observed incidences of moderate/severe RIF. RESULTS: Treatments with 35 Gy/7f and 28 Gy/4f were selected for the fraction reduction protocol. 75 patients (group B) were treated in 35 Gy/7f. Incidence of moderate/severe RIF was 5.9% in group A, 5.3% in group B. The NTCP model with correction for incomplete repair had lowest difference from observed RIF. The alpha/beta obtained from fitting was 2.8 (95%CIs 1.1-10.7) Gy. CONCLUSIONS: The hypofractionated regimen was well tolerated. The model for NTCP corrected for incomplete repair was the most accurate and an assumed alpha/beta value of 3 Gy is consistent with our patient data. The hypofractionation protocol is continuing with patients treated with 28 Gy/4f."
